Commodity Code,Commodity Name,Substance,"Unit, purchaser price",Supply Chain Emission Factors without Margins,Margins of Supply Chain Emission Factors,Supply Chain Emission Factors with Margins
"111CA~Farms~carbon dioxide~kg/2018 USD, purchaser price~0.467~0.046~0.513",,,,,,
"111CA~Farms~methane~kg/2018 USD, purchaser price~0.025~0~0.026",,,,,,
"111CA~Farms~nitrous oxide~kg/2018 USD, purchaser price~0.002~0~0.002",,,,,,
"111CA~Farms~other GHGs~kg CO2e/2018 USD, purchaser price~0.004~0~0.004",,,,,,
"113FF~Forestry and fishing with related activities~carbon dioxide~kg/2018 USD, purchaser price~0.199~0.024~0.223",,,,,,
"113FF~Forestry and fishing with related activities~methane~kg/2018 USD, purchaser price~0.003~0~0.003",,,,,,
"113FF~Forestry and fishing with related activities~nitrous oxide~kg/2018 USD, purchaser price~0~0~0",,,,,,
"113FF~Forestry and fishing with related activities~other GHGs~kg CO2e/2018 USD, purchaser price~0.002~0~0.002",,,,,,
"211~Oil and gas extraction~carbon dioxide~kg/2018 USD, purchaser price~0.508~0.062~0.569",,,,,,
"211~Oil and gas extraction~methane~kg/2018 USD, purchaser price~0.028~0.001~0.028",,,,,,
"211~Oil and gas extraction~nitrous oxide~kg/2018 USD, purchaser price~0~0~0",,,,,,
"211~Oil and gas extraction~other GHGs~kg CO2e/2018 USD, purchaser price~0.004~0~0.004",,,,,,
"212~Mining except oil and gas~carbon dioxide~kg/2018 USD, purchaser price~0.639~0.11~0.749",,,,,,
"212~Mining except oil and gas~methane~kg/2018 USD, purchaser price~0.022~0.001~0.023",,,,,,
"212~Mining except oil and gas~nitrous oxide~kg/2018 USD, purchaser price~0~0~0",,,,,,
"212~Mining except oil and gas~other GHGs~kg CO2e/2018 USD, purchaser price~0.005~0~0.005",,,,,,
"213~Support activities for mining~carbon dioxide~kg/2018 USD, purchaser price~0.445~0~0.445",,,,,,
"213~Support activities for mining~methane~kg/2018 USD, purchaser price~0.013~0~0.013",,,,,,
"213~Support activities for mining~nitrous oxide~kg/2018 USD, purchaser price~0~0~0",,,,,,
"213~Support activities for mining~other GHGs~kg CO2e/2018 USD, purchaser price~0.004~0~0.004",,,,,,
22,Utilities,carbon dioxide,"kg/2018 USD, purchaser price",2.884,0,2.884
22,Utilities,methane,"kg/2018 USD, purchaser price",0.005,0,0.005
22,Utilities,nitrous oxide,"kg/2018 USD, purchaser price",0,0,0
22,Utilities,other GHGs,"kg CO2e/2018 USD, purchaser price",0.01,0,0.01
23,Construction,carbon dioxide,"kg/2018 USD, purchaser price",0.259,0,0.259
23,Construction,methane,"kg/2018 USD, purchaser price",0.002,0,0.002
23,Construction,nitrous oxide,"kg/2018 USD, purchaser price",0,0,0
23,Construction,other GHGs,"kg CO2e/2018 USD, purchaser price",0.02,0,0.02
311FT,Food and beverage and tobacco products,carbon dioxide,"kg/2018 USD, purchaser price",0.317,0.019,0.336
311FT,Food and beverage and tobacco products,methane,"kg/2018 USD, purchaser price",0.008,0,0.008
311FT,Food and beverage and tobacco products,nitrous oxide,"kg/2018 USD, purchaser price",0.001,0,0.001
311FT,Food and beverage and tobacco products,other GHGs,"kg CO2e/2018 USD, purchaser price",0.007,0,0.007
